注文番号,時間(Open Time),取引種別,数量,通貨ペア,価格,決済逆指値(S/L),決済指値(T/P),時間(Close Time),価格,手数料,税,スワップ,損益,MagicNo,コメント
99360769,2024.06.26 19:00:01,buy,0.16,USDJPY,160.687,160.006,0,2024.06.27 02:43:30,160.681,0,0,0,-96,20240512,STR01_USDJPY_H1
99370510,2024.06.27 00:02:08,balance,0.01,,0,0,0,2024.06.27 00:02:08,0,0,0,0,2540,,RO 99349978 B 0.29 USDJPY
99370511,2024.06.27 00:02:08,balance,0.01,,0,0,0,2024.06.27 00:02:08,0,0,0,0,1752,,RO 99357075 B 0.20 USDJPY
99370512,2024.06.27 00:02:08,balance,0.01,,0,0,0,2024.06.27 00:02:08,0,0,0,0,2190,,RO 99357381 B 0.25 USDJPY
99370513,2024.06.27 00:02:08,balance,0.01,,0,0,0,2024.06.27 00:02:08,0,0,0,0,963,,RO 99360194 B 0.11 USDJPY
99370514,2024.06.27 00:02:08,balance,0.01,,0,0,0,2024.06.27 00:02:08,0,0,0,0,1401,,RO 99360769 B 0.16 USDJPY
99396901,2024.06.27 00:10:00,buy,0.56,USDJPY,160.784,160.589,0,2024.06.27 02:18:22,160.589,0,0,0,-10920,20240512,STR01_USDJPY_H1[sl]
99416918,2024.06.27 22:00:00,buy,0.28,USDJPY,160.768,160.564,0,2024.06.28 04:30:11,161.262,0,0,0,13832,20240512,to #99452781
99417155,2024.06.27 23:00:00,buy,0.68,USDJPY,160.827,160.664,0,2024.06.28 00:10:00,160.628,0,0,0,-13532,20240512,STR01_USDJPY_H1[sl]
99424176,2024.06.28 00:02:04,balance,0.01,,0,0,0,2024.06.28 00:02:04,0,0,0,0,1635,,RO 99416918 B 0.56 USDJPY
99424177,2024.06.28 00:02:04,balance,0.01,,0,0,0,2024.06.28 00:02:04,0,0,0,0,1985,,RO 99417155 B 0.68 USDJPY
99451488,2024.06.28 04:00:01,buy,0.22,USDJPY,161.122,160.624,0,2024.06.28 13:27:05,160.62,0,0,0,-11044,20240512,STR01_USDJPY_H1[sl]
99452781,2024.06.27 22:00:00,buy,0.28,USDJPY,160.768,160.774,0,2024.06.28 12:09:16,160.773,0,0,0,140,20240512,from #99416918[sl]
99522997,2024.07.01 16:00:00,buy,0.28,USDJPY,161.358,160.967,0,2024.07.01 17:00:02,160.966,0,0,0,-10976,20240512,STR01_USDJPY_H1[sl]
99528046,2024.07.01 18:00:00,buy,0.14,USDJPY,161.657,160.925,0,2024.07.03 03:00:00,161.493,0,0,0,-2296,20240512,STR01_USDJPY_H1
99538467,2024.07.02 00:02:06,balance,0.01,,0,0,0,2024.07.02 00:02:06,0,0,0,0,733,,RO 99528046 B 0.14 USDJPY
99600719,2024.07.03 08:00:00,buy,0.56,USDJPY,161.718,161.517,0,2024.07.03 17:00:00,161.496,0,0,0,-12432,20240512,STR01_USDJPY_H1[sl]
99602026,2024.07.03 09:00:00,buy,0.36,USDJPY,161.871,161.564,0,2024.07.03 17:00:00,161.496,0,0,0,-13500,20240512,STR01_USDJPY_H1[sl]
99663507,2024.07.04 15:00:00,sell,0.34,USDJPY,161.001,161.325,0,2024.07.05 00:10:00,161.325,0,0,0,-11016,20240512,STR01_USDJPY_H1[sl]
99675772,2024.07.05 00:02:10,balance,0.01,,0,0,0,2024.07.05 00:02:10,0,0,0,0,-769,,RO 99663507 S 0.34 USDJPY
99710315,2024.07.05 07:00:00,sell,0.12,USDJPY,160.613,161.394,0,2024.07.08 18:00:03,160.61,0,0,0,36,20240512,STR01_USDJPY_H1
99736092,2024.07.06 00:02:08,balance,0.01,,0,0,0,2024.07.06 00:02:08,0,0,0,0,-272,,RO 99710315 S 0.12 USDJPY
99833671,2024.07.09 18:00:00,buy,0.22,USDJPY,161.365,160.88,0,2024.07.11 09:00:00,161.694,0,0,0,7238,20240512,STR01_USDJPY_H1
99834949,2024.07.09 19:00:01,buy,0.2,USDJPY,161.403,160.88,0,2024.07.11 09:00:02,161.689,0,0,0,5720,20240512,STR01_USDJPY_H1
